Price Date,Close Price
17-04-2023,1258.3
13-04-2023,1389.2
12-04-2023,1428.3
11-04-2023,1406.15
10-04-2023,1427.6
06-04-2023,1421.9
05-04-2023,1423.55
03-04-2023,1410.85
31-03-2023,1427.95
29-03-2023,1383.55
28-03-2023,1377.6
27-03-2023,1388.95
24-03-2023,1380.65
23-03-2023,1374.55
22-03-2023,1389.25
21-03-2023,1390.7
20-03-2023,1403.65
17-03-2023,1420.7
16-03-2023,1404.1
15-03-2023,1419.65
14-03-2023,1420
13-03-2023,1435.1
10-03-2023,1471.55
09-03-2023,1480.4
08-03-2023,1492.7
06-03-2023,1507.45
03-03-2023,1479.3
02-03-2023,1472.15
01-03-2023,1496.05
28-02-2023,1487.55
27-02-2023,1509.3
24-02-2023,1550.65
23-02-2023,1550.7
22-02-2023,1561.8
21-02-2023,1579.5
20-02-2023,1592.45
17-02-2023,1583.8
16-02-2023,1601.8
15-02-2023,1597.05
14-02-2023,1593.25
13-02-2023,1567.45
10-02-2023,1608.55
09-02-2023,1617
08-02-2023,1590.5
07-02-2023,1562.4
06-02-2023,1569.85
03-02-2023,1599.4
02-02-2023,1583.75
01-02-2023,1551.1
31-01-2023,1533.75
30-01-2023,1538.8
27-01-2023,1519.15
25-01-2023,1543
24-01-2023,1551.9
23-01-2023,1548
20-01-2023,1525.55
19-01-2023,1538.9
18-01-2023,1545.4
17-01-2023,1539.5
16-01-2023,1525.5
13-01-2023,1503.65
12-01-2023,1480.6
11-01-2023,1471.25
10-01-2023,1469.75
09-01-2023,1484.45
06-01-2023,1448.5
05-01-2023,1475.2
04-01-2023,1494.8
03-01-2023,1522.55
02-01-2023,1524
30-12-2022,1508.2
29-12-2022,1517.55
28-12-2022,1510.15
27-12-2022,1514.85
26-12-2022,1502.4
23-12-2022,1497.1
22-12-2022,1522.05
21-12-2022,1509.55
20-12-2022,1507.3
19-12-2022,1507.35
16-12-2022,1522.2
15-12-2022,1540.5
14-12-2022,1579.4
13-12-2022,1572.15
12-12-2022,1547.2
09-12-2022,1569.3
08-12-2022,1620.15
07-12-2022,1605.5
06-12-2022,1612.9
05-12-2022,1639.75
02-12-2022,1637.9
01-12-2022,1657.1
30-11-2022,1634.95
29-11-2022,1629.05
28-11-2022,1623.4
25-11-2022,1635.65
24-11-2022,1629.8
23-11-2022,1583.15
22-11-2022,1585.05
21-11-2022,1568.2
18-11-2022,1593.4
17-11-2022,1587.4
16-11-2022,1602.8
